UNIVERSIDAD,DEPARTAMENTO,LICENCIAMIENTO,GESTION
Universidad Nacional del Altiplano,Puno/Puno,30-12-2017,Puno/Puno
Universidad Andina del Cusco,Cusco/Cusco,23-12-2017,Cusco/Cusco
Universidad Privada de Tacna,Tacna/Tacna,30-11-2017,Tacna/Tacna
Universidad Nacional de Ingeniería,Lima/Lima,28-11-2017,Lima/Lima
Universidad de Ciencias y Humanidades,Lima/Lima,21-11-2017,Lima/Lima
Universidad Privada del Norte,La Libertad/Trujillo,11-11-2017,La Libertad/Trujillo
Universidad Católica San Pablo,Arequipa/Arequipa,22-10-2017,Arequipa/Arequipa
Universidad Marcelino Champagnat,Lima/Lima,12-10-2017,Lima/Lima
Universidad San Ignacio de Loyola,Lima/Lima,08-10-2017,Lima/Lima
Universidad Peruana de Ciencias Aplicadas,Lima/Lima,06-10-2017,Lima/Lima
Universidad Nacional José María Arguedas,Apurímac/Andahuaylas,02-10-2017,Apurímac/Andahuaylas
Universidad Nacional Toribio Rodríguez de Mendoza de Amazonas,Amazonas/Chachapoyas,17-09-2017,Amazonas/Chachapoyas
Universidad de San Martín de Porres,Lima/Lima,11-08-2017,Lima/Lima
Universidad Antonio Ruiz de Montoya,Lima/Lima,03-06-2017,Lima/Lima
Universidad Nacional Autónoma de Huanta,Ayacucho/Huanta,19-04-2017,Ayacucho/Huanta
Universidad Nacional Agraria la Molina,Lima/Lima,20-03-2017,Lima/Lima
Universidad de Piura,Piura/Piura,27-01-2017,Piura/Piura
Universidad Ricardo Palma,Lima/Lima,31-12-2016,Lima/Lima
Universidad Femenina del Sagrado Corazón,Lima/Lima,15-12-2016,Lima/Lima
Universidad de Ciencias y Artes de América Latina,Lima/Lima,12-10-2016,Lima/Lima
Universidad para el Desarrollo Andino,Huancavelica/Angaraes,28-09-2016,Huancavelica/Angaraes
Universidad Peruana Cayetano Heredia,Lima/Lima,27-07-2016,Lima/Lima
Universidad del Pacífico,Lima/Lima,27-07-2016,Lima/Lima
Universidad de Lima,Lima/Lima,12-07-2016,Lima/Lima
Pontificia Universidad Católica del Perú,Lima/Lima,06-07-2016,Lima/Lima
Universidad de Ingeniería y Tecnología,Lima/Lima,25-03-2016,Lima/Lima
